STATE,ZIP CODE,CARRIER,LOCALITY,RURAL IND,LAB CB LOCALITY,RURAL IND2,PLUS 4 FLAG,PART B DRUG INDICATOR,YEAR/QTR
AK,99640,02102,01,B,Z9,B,0,A,20174
AK,99641,02102,01,B,Z9,B,0,A,20174
AK,99643,02102,01,B,Z9,B,0,A,20174
AK,99644,02102,01,B,Z9,B,0,A,20174
AK,99645,02102,01,B,Z9,B,0,A,20174
AK,99647,02102,01,B,Z9,B,0,A,20174
AK,99648,02102,01,B,Z9,B,0,A,20174
AK,99649,02102,01,B,Z9,B,0,A,20174
AK,99650,02102,01,B,Z9,B,0,A,20174
AK,99651,02102,01,B,Z9,B,0,A,20174
AK,99652,02102,01,B,Z9,B,0,A,20174
AK,99653,02102,01,B,Z9,B,0,A,20174
AK,99654,02102,01,B,Z9,B,0,A,20174
AK,99655,02102,01,B,Z9,B,0,A,20174
AK,99656,02102,01,B,Z9,B,0,A,20174
AK,99657,02102,01,B,Z9,B,0,A,20174
AK,99658,02102,01,B,Z9,B,0,A,20174
AK,99659,02102,01,B,Z9,B,0,A,20174
AK,99660,02102,01,B,Z9,B,0,A,20174
AK,99661,02102,01,B,Z9,B,0,A,20174
AK,99662,02102,01,B,Z9,B,0,A,20174
AK,99663,02102,01,B,Z9,B,0,A,20174
AK,99664,02102,01,B,Z9,B,0,A,20174
AK,99665,02102,01,B,Z9,B,0,A,20174
AK,99666,02102,01,B,Z9,B,0,A,20174
AK,99667,02102,01,B,Z9,B,0,A,20174
AK,99668,02102,01,B,Z9,B,0,A,20174
AK,99669,02102,01,B,Z9,B,0,A,20174
AK,99670,02102,01,B,Z9,B,0,A,20174
AK,99671,02102,01,B,Z9,B,0,A,20174
AK,99672,02102,01,B,Z9,B,0,A,20174
AK,99674,02102,01,B,Z9,B,0,A,20174
AK,99675,02102,01,B,Z9,B,0,A,20174
AK,99676,02102,01,B,Z9,B,0,A,20174
AK,99677,02102,01,B,Z9,B,0,A,20174
AK,99678,02102,01,B,Z9,B,0,A,20174
AK,99679,02102,01,B,Z9,B,0,A,20174
AK,99680,02102,01,B,Z9,B,0,A,20174
AK,99681,02102,01,B,Z9,B,0,A,20174
AK,99682,02102,01,B,Z9,B,0,A,20174
AK,99683,02102,01,B,Z9,B,0,A,20174
AK,99684,02102,01,B,Z9,B,0,A,20174
AK,99685,02102,01,B,Z9,B,0,A,20174
AK,99686,02102,01,B,Z9,B,0,A,20174
AK,99687,02102,01,B,Z9,B,0,A,20174
AK,99688,02102,01,B,Z9,B,0,A,20174
AK,99689,02102,01,R,Z9,R,0,A,20174
AK,99690,02102,01,B,Z9,B,0,A,20174
AK,99691,02102,01,B,Z9,B,0,A,20174
AK,99692,02102,01,B,Z9,B,0,A,20174
AK,99693,02102,01,B,Z9,B,0,A,20174
AK,99694,02102,01,B,Z9,B,0,A,20174
AK,99695,02102,01,,Z9,,0,A,20174
AK,99697,02102,01,B,Z9,B,0,A,20174
AK,99701,02102,01,B,Z9,B,0,A,20174
AK,99702,02102,01,B,Z9,B,0,A,20174
AK,99703,02102,01,B,Z9,B,0,A,20174
AK,99704,02102,01,R,Z9,R,0,A,20174
AK,99705,02102,01,B,Z9,B,0,A,20174
AK,99706,02102,01,B,Z9,B,0,A,20174
AK,99707,02102,01,B,Z9,B,0,A,20174
AK,99708,02102,01,B,Z9,B,0,A,20174
AK,99709,02102,01,B,Z9,B,0,A,20174
AK,99710,02102,01,B,Z9,B,0,A,20174
AK,99711,02102,01,B,Z9,B,0,A,20174
AK,99712,02102,01,B,Z9,B,0,A,20174
AK,99714,02102,01,B,Z9,B,0,A,20174
AK,99716,02102,01,B,Z9,B,0,A,20174
AK,99720,02102,01,B,Z9,B,0,A,20174
AK,99721,02102,01,B,Z9,B,0,A,20174
AK,99722,02102,01,B,Z9,B,0,A,20174
AK,99723,02102,01,B,Z9,B,0,A,20174
AK,99724,02102,01,B,Z9,B,0,A,20174
AK,99725,02102,01,B,Z9,B,0,A,20174
AK,99726,02102,01,B,Z9,B,0,A,20174
AK,99727,02102,01,B,Z9,B,0,A,20174
AK,99729,02102,01,R,Z9,R,0,A,20174
AK,99730,02102,01,B,Z9,B,0,A,20174
AK,99731,02102,01,B,Z9,B,0,A,20174
AK,99732,02102,01,B,Z9,B,0,A,20174
AK,99733,02102,01,B,Z9,B,0,A,20174
AK,99734,02102,01,B,Z9,B,0,A,20174
AK,99736,02102,01,B,Z9,B,0,A,20174
AK,99737,02102,01,B,Z9,B,0,A,20174
AK,99738,02102,01,B,Z9,B,0,A,20174
AK,99739,02102,01,B,Z9,B,0,A,20174
AK,99740,02102,01,B,Z9,B,0,A,20174
AK,99741,02102,01,B,Z9,B,0,A,20174
AK,99742,02102,01,B,Z9,B,0,A,20174
AK,99743,02102,01,R,Z9,R,0,A,20174
AK,99744,02102,01,R,Z9,R,0,A,20174
AK,99745,02102,01,B,Z9,B,0,A,20174
AK,99746,02102,01,B,Z9,B,0,A,20174
AK,99747,02102,01,B,Z9,B,0,A,20174
AK,99748,02102,01,B,Z9,B,0,A,20174
AK,99749,02102,01,B,Z9,B,0,A,20174
AK,99750,02102,01,B,Z9,B,0,A,20174
AK,99751,02102,01,B,Z9,B,0,A,20174
AK,99752,02102,01,B,Z9,B,0,A,20174
AK,99753,02102,01,B,Z9,B,0,A,20174
AK,99754,02102,01,B,Z9,B,0,A,20174
AK,99755,02102,01,R,Z9,R,0,A,20174
AK,99756,02102,01,B,Z9,B,0,A,20174
AK,99757,02102,01,B,Z9,B,0,A,20174
AK,99758,02102,01,B,Z9,B,0,A,20174
AK,99759,02102,01,B,Z9,B,0,A,20174
AK,99760,02102,01,B,Z9,B,0,A,20174
AK,99761,02102,01,B,Z9,B,0,A,20174
AK,99762,02102,01,B,Z9,B,0,A,20174
AK,99763,02102,01,B,Z9,B,0,A,20174
AK,99764,02102,01,B,Z9,B,0,A,20174
AK,99765,02102,01,B,Z9,B,0,A,20174
AK,99766,02102,01,B,Z9,B,0,A,20174
AK,99767,02102,01,B,Z9,B,0,A,20174
AK,99768,02102,01,B,Z9,B,0,A,20174
AK,99769,02102,01,B,Z9,B,0,A,20174
AK,99770,02102,01,B,Z9,B,0,A,20174
AK,99771,02102,01,B,Z9,B,0,A,20174
AK,99772,02102,01,B,Z9,B,0,A,20174
AK,99773,02102,01,B,Z9,B,0,A,20174
AK,99774,02102,01,B,Z9,B,0,A,20174
AK,99775,02102,01,B,Z9,B,0,A,20174
AK,99776,02102,01,B,Z9,B,0,A,20174
AK,99777,02102,01,B,Z9,B,0,A,20174
AK,99778,02102,01,B,Z9,B,0,A,20174
AK,99779,02102,01,B,Z9,B,0,A,20174
AK,99780,02102,01,B,Z9,B,0,A,20174
AK,99781,02102,01,B,Z9,B,0,A,20174
AK,99782,02102,01,B,Z9,B,0,A,20174
AK,99783,02102,01,B,Z9,B,0,A,20174
AK,99784,02102,01,B,Z9,B,0,A,20174
AK,99785,02102,01,B,Z9,B,0,A,20174
AK,99786,02102,01,B,Z9,B,0,A,20174
AK,99788,02102,01,B,Z9,B,0,A,20174
AK,99789,02102,01,B,Z9,B,0,A,20174
AK,99790,02102,01,B,Z9,B,0,A,20174
AK,99791,02102,01,B,Z9,B,0,A,20174
AK,99801,02102,01,B,Z9,B,0,A,20174
AK,99802,02102,01,B,Z9,B,0,A,20174
AK,99803,02102,01,B,Z9,B,0,A,20174
AK,99811,02102,01,B,Z9,B,0,A,20174
